residue_mod_4096,minimal_k,support_size,support_primes
1471,11,3,"[41, 109, 163]"
1473,11,2,"[17, 37]"
1475,11,1,[5]
1477,11,2,"[5, 11]"
1479,11,0,[]
1481,11,2,"[11, 97]"
1483,11,0,[]
1485,11,2,"[179, 233]"
1487,11,1,[107]
1489,11,1,[11]
1491,11,0,[]
1493,11,1,[73]
1495,11,1,[7]
1497,11,1,[7]
1499,11,3,"[11, 103, 139]"
1501,11,2,"[5, 73]"
1503,11,4,"[7, 17, 37, 263]"
1505,11,1,[181]
1507,11,2,"[41, 83]"
1509,11,1,[13]
1511,11,1,[19]
1513,11,1,[7]
1515,11,0,[]
1517,10,0,[]
1519,11,1,[5]
1521,11,0,[]
1523,11,0,[]
1525,11,3,"[5, 13, 41]"
1527,11,2,"[7, 67]"
1529,11,0,[]
1531,11,5,"[7, 11, 19, 43, 101]"
1533,10,0,[]
1535,11,1,[5]
1537,11,4,"[11, 13, 17, 23]"
1539,11,1,[1031]
1541,11,2,"[13, 29]"
1543,11,1,[281]
1545,11,0,[]
1547,11,1,[47]
1549,11,1,[5]
1551,11,1,[271]
1553,11,1,[5]
1555,11,1,[23]
1557,11,2,"[5, 19]"
1559,11,1,[29]
1561,11,1,[67]
1563,11,2,"[11, 379]"
1565,10,0,[]
1567,11,1,[347]
1569,11,3,"[11, 17, 41]"
1571,11,1,[43]
1573,11,1,[101]
1575,10,0,[]
1577,11,2,"[31, 5749]"
1579,11,2,"[5, 31]"
1581,11,1,[11]
1583,11,1,[151]
1585,11,1,[7]
1587,11,1,[683]
1589,11,1,[5]
1591,11,3,"[197, 227, 433]"
1593,11,1,[103]
1595,11,0,[]
1597,11,0,[]
1599,11,1,[631]
1601,11,1,[13]
1603,11,2,"[5, 23]"
1605,11,1,[13]
1607,10,0,[]
1609,11,1,[11]
1611,11,3,"[5, 31, 283]"
1613,11,1,[523]
1615,11,2,"[59, 131]"
1617,11,1,[19]
1619,11,1,[17]
1621,11,1,[23]
1623,11,1,[263]
1625,11,1,[29]
1627,11,2,"[7, 71]"
1629,11,0,[]
1631,10,0,[]
1633,11,2,"[73, 1621]"
1635,11,0,[]
1637,11,3,"[5, 11, 23]"
1639,11,1,[283]
1641,11,2,"[11, 263]"
1643,11,1,[19]
1645,10,1,[19]
1647,11,1,[107]
1649,10,0,[]
1651,11,2,"[11, 167]"
1653,11,0,[]
1655,11,0,[]
1657,11,2,"[5, 1319]"
1659,11,2,"[7, 31]"
1661,11,1,[23]
1663,11,3,"[11, 13, 23]"
1665,11,2,"[37, 97]"
1667,11,1,[7]
1669,11,0,[]
1671,11,0,[]
1673,11,2,"[223, 421]"
1675,11,2,"[47, 487]"
1677,11,0,[]
1679,11,1,[167]
1681,11,2,"[41, 47]"
1683,11,1,[347]
1685,11,2,"[17, 97]"
1687,11,3,"[5, 37, 263]"
1689,11,2,"[7, 13]"
1691,11,0,[]
1693,11,2,"[5, 103]"
1695,11,1,[5]
1697,11,1,[7]
1699,11,2,"[61, 227]"
1701,11,0,[]
1703,11,2,"[53, 263]"
1705,11,2,"[71, 197]"
1707,11,1,[5]
1709,11,0,[]
1711,10,0,[]
1713,11,1,[179]
1715,11,1,[37]
1717,10,0,[]
1719,11,1,[5]
1721,11,0,[]
1723,11,4,"[5, 29, 61, 463]"
1725,11,2,"[11, 79]"
1727,11,0,[]
1729,11,3,"[5, 7, 29]"
1731,9,0,[]
1733,10,0,[]
1735,11,1,[281]
1737,11,2,"[73, 113]"
1739,11,1,[137]
1741,11,0,[]
1743,11,2,"[7, 11]"
1745,11,0,[]
1747,11,2,"[53, 167]"
1749,11,3,"[31, 97, 457]"
1751,11,5,"[5, 7, 19, 43, 157]"
1753,11,1,[137]
1755,11,0,[]
1757,11,1,[19]
1759,11,1,[23]
1761,11,2,"[5, 17]"
1763,11,1,[41]
1765,11,0,[]
1767,11,3,"[19, 43, 173]"
1769,11,4,"[5, 11, 59, 1097]"
1771,11,1,[1613]
1773,11,1,[5]
1775,11,0,[]
1777,11,1,[179]
1779,11,2,"[29, 37]"
1781,11,1,[11]
1783,11,1,[31]
1785,11,1,[109]
1787,11,1,[7]
1789,11,1,[311]
1791,11,1,[71]
1793,11,1,[701]
1795,10,1,[5]
1797,11,1,[983]
1799,11,1,[229]
1801,11,1,[7]
1803,11,0,[]
1805,11,2,"[17, 31]"
1807,11,1,[11]
1809,11,3,"[11, 37, 1657]"
1811,11,0,[]
1813,10,0,[]
1815,11,2,"[11, 89]"
1817,11,0,[]
1819,11,1,[67]
1821,11,3,"[5, 47, 163]"
1823,11,1,[5]
1825,11,0,[]
1827,11,1,[11]
1829,11,3,"[13, 19, 43]"
1831,11,1,[13]
1833,11,0,[]
1835,11,2,"[7, 353]"
1837,11,3,"[7, 23, 307]"
1839,10,0,[]
1841,11,1,[5]
1843,11,3,"[5, 7, 173]"
1845,11,1,[7]
1847,11,3,"[31, 179, 631]"
1849,11,0,[]
1851,11,0,[]
1853,11,1,[61]
1855,11,0,[]
1857,11,3,"[5, 23, 1949]"
1859,11,1,[389]
1861,11,4,"[11, 23, 167, 379]"
1863,11,1,[29]
1865,11,2,"[5, 137]"
1867,11,3,"[17, 47, 569]"
1869,11,1,[41]
1871,11,0,[]
1873,10,0,[]
